id,title,age,available,neighbourhood,postcode,type,rooms,monthly_price_usd,monthly_min_usd,monthly_max_usd,link,long,lat,postcode_latlong,commute_time,commute_distance
100941856,Beautiful Brooklyn Brownstone,15,13 Aug,Crown Heights,11213,house,3,$900,900,900,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=100941856&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D720%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.93892129999999,40.6722134,40.6722134+-73.9389213,2624,14399
101182234,"Room 30 mins to the City, Close to Train Station",15,Available Now,Elmhurst,11373,house,4,$950,950,950,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101182234&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D720%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.8801301,40.737975,40.737975+-73.8801301,1916,11189
100748365,Seeking Housemate for Bronx Home,15,1 Aug,University Heights,10468,house,5,$900,900,900,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=100748365&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D720%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.8977693,40.8687887,40.8687887+-73.8977693,2408,15889
101088406,$1838 Huge 1 bedroom in 2BR/2BA in Chelsea- July,15,Available Now,Chelsea,10001,apartment,2,"$1,838",1838,1838,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101088406&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D720%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9991637,40.75368539999999,40.7536854+-73.9991637,1084,3070
101231632,Private Bedroom in Luxury Building Midtown West,15,27 Jul,Hell's Kitchen,10018,apartment,2,"$1,900",1900,1900,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101231632&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D720%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9932872,40.755322,40.755322+-73.9932872,974,1354
100498834,"$1,850 - Drmn Furn Rm - Available Sept. 1",15,1 Sep,Upper East Side,10075,apartment,2,"$1,850",1850,1850,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=100498834&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D720%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9558204,40.7728432,40.7728432+-73.9558204,1529,3646
100247923,Sunny Room (Fully Furnished) in Cozy Apartment,15,1 Sep,Murray Hill,10016,apartment,3,"$1,550",1550,1550,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=100247923&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D720%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9800645,40.74727,40.74727+-73.9800645,959,1577
101081002,UES Furnished Room to Let,15,Available Now,Upper East Side,10028,apartment,2,"$1,080",1080,1080,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101081002&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D720%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9521468,40.77664120000001,40.7766412+-73.9521468,1453,4503
100133380,1BR/1BA in 3BR/3BA Duplex in East Harlem Townhouse,15,Available Now,East Harlem,10035,house,3,"$1,500",1500,1500,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=100133380&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D720%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9271644,40.794065,40.794065+-73.9271644,2722,12175
101231077,Beautiful mid-sized bedroom,15,Available Now,University Heights,10453,apartment,2,$175/week,NA,NA,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101231077&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D730%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9154069,40.8515872,40.8515872+-73.9154069,2482,13909
101213782,"Roommate needed in sunny, spacious Crown Heights 2",15,Available Now,Crown Heights,11216,apartment,2,"$1,375",1375,1375,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101213782&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D730%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9506774,40.6788319,40.6788319+-73.9506774,1778,13268
101230420,Super Sunny !,16,1 Aug,East Village,10009,apartment,2,"$1,870",1870,1870,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101230420&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D730%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9800645,40.7275043,40.7275043+-73.9800645,1611,5054
101229943,"Bedroom available in Forest Hills, Queens",16,1 Aug,Forest Hills,11375,apartment,3,$900,900,900,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101229943&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D730%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.8457658,40.7245678,40.7245678+-73.8457658,1865,14513
101229904,$1333 / 3br - Sunlit Room with Huge Window,16,Available Now,Williamsburg,11211,apartment,3,"$1,333",1333,1333,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101229904&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D730%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9565551,40.7093358,40.7093358+-73.9565551,1774,8892
100105291,Sunlit room with massive windows and high ceilings,16,Available Now,Bedford - Stuyvesant,11205,apartment,2,"$1,300",1300,1300,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=100105291&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D730%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9565551,40.6945036,40.6945036+-73.9565551,2464,11196
100546678,Large Room for rent - All Utilities included,16,Available Now,Brownsville,11212,apartment,4,$750,750,750,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=100546678&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D730%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9154069,40.6639181,40.6639181+-73.9154069,2838,16815
101057080,"Room in Private House, Furnished,1 Minute to Train",16,Available Now,Astoria,11103,house,2,"$1,150",1150,1150,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101057080&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D730%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9109977,40.7633726,40.7633726+-73.9109977,1826,8082
101229460,Brooklyn sublet available 7/1-11/30.,16,Available Now,Brooklyn,11226,apartment,3,"$1,025",1025,1025,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101229460&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D730%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9536163,40.6470923,40.6470923+-73.9536163,2975,16474
101007733,Furnished 3 bed 2 bath Node St. Nick Bushwick,16,Available Now,Bushwick,11237,apartment,3,"$3,970 ",3970,3970,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101007733&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D730%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.92128579999999,40.7043156,40.7043156+-73.9212858,1979,11152
101229244,Room Available in Beautiful Bedstuy/Bushwick Apt,16,Available Now,Brooklyn,11221,apartment,4,$838,838,838,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101229244&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D740%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9271644,40.6903213,40.6903213+-73.9271644,1674,12026
101229163,Cozy Room In Cozy Apartment,16,Available Now,Bedford - Stuyvesant,11216,apartment,2,"$1,000",1000,1000,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101229163&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D740%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9506774,40.6788319,40.6788319+-73.9506774,1778,13268
101211613,"Room in gut reno apt,less than 1 min walkto subway",16,Available Now,Bedford - Stuyvesant,11216,apartment,2,"$1,400",1400,1400,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101211613&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D740%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9506774,40.6788319,40.6788319+-73.9506774,1778,13268
101028841,Stunning Studio in East Village Duplex,16,Available Now,East Village,10009,apartment,1,"$2,000 ",2000,2000,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101028841&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D740%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9800645,40.7275043,40.7275043+-73.9800645,1611,5054
